Id;Text
3704;Disclosure of extent and indication of nature of cases of non-respect of the UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises that involve consumers and/or end-users
3714;Disclosure of how policy addresses raw materials originating from ecosystems that have been managed to maintain or enhance conditions for biodiversity, as demonstrated by regular monitoring and reporting of biodiversity status and gains or losses
3723;Disclosure of how administrative, management and supervisory bodies and senior executive management oversee setting of targets related to material impacts, risks and opportunities and how progress towards them is monitored
3746;Disclosure of extent and indication of nature of cases of non-respect of the UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises that involve affected communities
3753;Disclosure of how policy refers to policies limiting procurement from suppliers that cannot demonstrate that they are not contributing to significant conversion of protected areas or key biodiversity areas
3823;Disclosure of the effects of significant events and changes in circumstances (relevant to its GHG emissions) that occur between the reporting dates of the entities in its value chain and the date of the undertaking’s general purpose financial statements
3865;Disclosure of the most common types of non-employees (for example, self-employed people, people provided by undertakings primarily engaged in employment activities, and other types relevant to the undertaking), their relationship with the undertaking, and the type of work that they perform.
3877;Disclosure of whether and how policies are implemented through specific procedures to ensure discrimination is prevented, mitigated and acted upon once detected, as well as to advance diversity and inclusion
3882;Disclosure of whether and how assessment of assets and business activities considered to be at material transition risk relies on or is part of process to determine material transition risks and to determine scenarios
3893;Disclosure of whether and how understanding of people in its own workforce with particular characteristics, working in particular contexts, or undertaking particular activities may be at greater risk of harm has been developed
3907;Disclosure of whether, by whom and how frequently administrative, management and supervisory bodies are informed about material impacts, risks and opportunities, implementation of due diligence, and results and effectiveness of policies, actions, metrics and targets adopted to address them
3910;Disclosure of whether and how understanding of how consumers and end-users with particular characteristics, working in particular contexts, or undertaking particular activities may be at greater risk of harm has been developed
3922;Disclosure of whether and how the undertaking has developed an understanding of how workers with particular characteristics, those working in particular contexts, or those undertaking particular activities may be at greater risk of harm.
3950;Disclosure of whether and how the undertaking has developed an understanding of how affected communities with particular characteristics or those living in particular contexts, or those undertaking particular activities may be at greater risk of harm
3951;Disclosure of whether and how assessment of assets and business activities considered to be at material physical risk relies on or is part of process to determine material physical risk and to determine climate scenarios
3956;Disclosure of whether the undertaking has screened its assets and activities in order to identify actual and potential impacts, risks and opportunities in own operations and upstream and downstream value chain, and if so, methodologies, assumptions and tools used
3957;Disclosure of types of employees who are not covered by social protection, through public programs or through benefits offered, against loss of income due to unemployment starting from when own worker is working for undertaking
4072;Explanation of the approximate scope of affected communities covered by the described social investment or development programmes, and, where applicable, the rationale for why selected communities were chosen
4075;Explanation of whether and how biodiversity and ecosystems-related policy addresses production, sourcing or consumption from ecosystems that are managed to maintain or enhance conditions for biodiversity
4077;Explanation of whether and how biodiversity and ecosystems-related policy supports traceability of products, components and raw materials with significant actual or potential impacts on biodiversity and ecosystems along value chain
4079;Explanation of whether and how public claims of GHG neutrality that involve use of carbon credits are accompanied by GHG emission reduction targets and how claims of GHG neutrality and reliance on carbon credits neither impede nor reduce achievement of GHG emission reduction targets or net zero target
4158;Has put in place grievance procedures to address complaints, handle appeals and provide recourse for employees when discrimination is identified, and is alert to formal structures and informal cultural issues that can prevent employees from raising concerns and grievances
5300;If the undertaking has production processes in place which significantly consume water (e.g. thermal energy processes like drying or power production, production of goods, agricultural irrigation, etc.), it shall disclose its water consumption calculated as the difference between its water withdrawal and water discharge from its production processes.
5304;Incentive schemes and remuneration policies linked to sustainability matters for members of administrative, management and supervisory bodies exist
5335;Information about reconciliation of amount of fines, penalties, and compensation for severe human rights issues and incidents connected to own workforce with most relevant amount presented in financial statements
5601;Scenarios are informed by expectations in authoritative intergovernmental instruments and by scientific consensus
5636;psum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
5643;Percentage of own workforce who are covered by health and safety management system based on legal requirements and (or) recognised standards or guidelines and which has been internally audited and (or) audited or certified by external party
5658;Rate of recordable work-related accidents for own workforce
5671;Share of the measure obtained from direct measurement, from sampling and extrapolation, or from best estimates
5672;Short-, medium- and long-term time horizons have been defined
5673;Significant CapEx for coal-related economic activities
5674;Significant CapEx for gas-related economic activities
5675;Significant CapEx for oil-related economic activities
5683;Social protection employees by country [table] by types of events and type of employees [including non employees]
5684;Specific policies aimed at elimination of discrimination are in place
5685;Staff training on non-discrimination policies and practices are in place
5686;Statement in case the undertaking has not adopted a channel for raising concerns
5687;Statement in case the undertaking has not adopted a general process to engage with affected communities
5688;Statement in case the undertaking has not adopted a general process to engage with consumers and/or end-users
5689;Statement in case the undertaking has not adopted a general process to engage with its own workforce
5690;Statement in case the undertaking has not adopted a general process to engage with value chain workers
5694;Sustainability matter(s) for which actions have not been adopted
5695;Sustainability matter(s) for which policies have not been adopted
5696;Sustainability matter(s) for which targets have not been adopted
5697;Sustainability matters addressed by policy for climate change
5698;Sustainable land or agriculture practices or policies have been adopted
5699;Sustainable oceans or seas practices or policies have been adopted
5707;"Tables: Multiple Dimensions (baseline year and targets; GHG Types, Scope 3 Categories, Decarbonisation levers, entity-specific denominators for intensity value)"
5708;Target is informed by relevant aspect of EU Biodiversity Strategy for 2030
5709;Target related to environmental matters is based on conclusive scientific evidence
5713;Targets set to manage material impacts, risks and opportunities related to affected communities [see ESRS 2 - MDR-T]
5715;Targets set to manage material impacts, risks and opportunities related to own workforce [see ESRS 2 - MDR-T]
5716;Targets set to manage material impacts, risks and opportunities related to value chain workers [see ESRS 2 - MDR-T]
5731;"The undertaking shall disclose: (a) whether the employees receive pay that is equal or above applicable minimum wage for the country it reports in, determined directly by the national minimum wage law or through a collective bargaining agreement; (b) the percentage gap in pay between its female and male employees. The undertaking may omit this disclosure when its headcount is below 150 employees noting that this threshold will be reduced to 100 employees from 7 June 2031; (c) the percentage of employees covered by collective bargaining agreements; and (d) the average number of annual training hours per employee, broken down by gender.  The employees covered by collective bargaining agreements are those individuals to whom the undertaking is obliged to apply the agreement. If an employee is covered by more than one collective bargaining agreement, it only needs to be counted once. If none of the employees are covered by a collective bargaining agreement, the percentage is zero."
5741;Third-party standard of conduct used in policy is verifiable through independent certifying or verifying bodies, which have defined and rigorous assessment procedures that avoid conflicts of interest and are compliant with ISO guidance on accreditation and verification procedures or Article 5(2) of Regulation (EC) No 765/2008
5743;Time horizon under which key action is to be completed
5745;Timetable for implementation of policies on anti-corruption or anti-bribery consistent with United Nations Convention against Corruption
5746;Timetable for implementation of policies on protection of whistle-blowers
5747;Topics (E4, S1, S2, S3, S4) have been assessed to be material
5830;Waste-type-specific method  sum across waste treatment methods: ? (total mass of sold products and packaging from point of sale to end of life after consumer use (kg) × % of total waste being treated by waste treatment method × emission factor of waste treatment method (kg CO2e/kg))
5842;Volume of gross Scope 1 greenhouse gas emissions covered by internal carbon pricing scheme
5843;Volume of gross Scope 2 greenhouse gas emissions covered by internal carbon pricing scheme
5844;Volume of gross Scope 3 greenhouse gas emissions covered by internal carbon pricing scheme
5845;Working conditions and terms of employment for employees not covered by collective bargaining agreements are determined based on collective bargaining agreements that cover other employees or based on collective bargaining agreements from other undertakings
5846;Workplace accident prevention policy or management system is in place
6545;Strategy, Business Model and Sustainability – Related Initiatives
6817;"{""de"":"""",""en"":""Hello, supplier!\n\nWelcome to your portal in Stratsys."",""fi"":"""",""nb"":"""",""sv"":""""}"
8765;Artikel 449a i förordning (EU) nr 575/2013 Kommissionens genomförandeförordning (EU) 2022/2453, punkterna 46 och 47: Mall 5: Utanför handelslagret – Klimatförändringsrelaterad fysisk risk: Exponeringar utsatta för fysisk risk
9000;Taxonomy aligned proportion of turnover year N (18)
9034;Taxonomy aligned proportion of turnover year N-1 (19)
9101;"<p><ins data-id=""10"">Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. </ins><strong><ins data-id=""10"">Excepteur sint </ins></strong><ins data-id=""10"">occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt </ins><strong><ins data-id=""10"">mollit anim id est laborum</ins></strong><ins data-id=""10"">.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco </ins><strong><ins data-id=""10"">laboris nisi </ins></strong><ins data-id=""10"">ut aliquip ex ea commodo consequat.</ins></p><ins data-id=""10""> </ins>"
9108;"<p><ins data-id=""10"">Lorem ipsum dolor sit amet, </ins><strong><ins data-id=""10"">consectetur adipiscing elit</ins></strong><ins data-id=""10"">, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit </ins><strong><ins data-id=""10"">esse cillum dolore </ins></strong><ins data-id=""10"">eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</ins></p><ins data-id=""10""> </ins>"
9110;"<p><ins data-id=""10"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut</ins><strong><ins data-id=""10""> labore et dolore</ins></strong><ins data-id=""10""> magna aliqua.</ins></p><ins data-id=""10"">  </ins><p><ins data-id=""10"">Ut enim ad minim veniam, quis </ins><strong><ins data-id=""10"">nostrud exercitation</ins></strong><ins data-id=""10""> ullamco laboris nisi ut aliquip ex ea commodo consequat.</ins></p><ins data-id=""10"">  </ins><p><ins data-id=""10"">Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, </ins><strong><ins data-id=""10"">sunt in culpa qui </ins></strong><ins data-id=""10"">officia deserunt mollit anim id est laborum.</ins></p><ins data-id=""10""> </ins>"
9111;"<p><ins data-id=""10"">Lorem</ins><strong><ins data-id=""10""> ipsum dolor</ins></strong><ins data-id=""10""> sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco</ins><strong><ins data-id=""10""> laboris nisi ut aliquip </ins></strong><ins data-id=""10"">ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.</ins></p><ins data-id=""10""> </ins>"
9159;"<p><ins data-id=""370"">We do not contribute to any of the objectives...</ins></p><ins data-id=""370""> </ins>"
9316;"<p><ins data-id=""370"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</ins></p><ins data-id=""370""> </ins>"
9334;"<p><ins data-id=""359"">3</ins></p><ins data-id=""359""> </ins>"
9409;"<p><ins data-id=""512"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum</ins></p><ins data-id=""512""> </ins>"
9497;"<p><strong>Basic Module:</strong></p><figure class=""media""><div data-oembed-url=""https://www.youtube.com/watch?v=qW8_hPVQf5M""><div style=""position: relative; padding-bottom: 56.2493%; height: 0""><iframe src=""https://www.youtube.com/embed/qW8_hPVQf5M"" style=""position: absolute; width: 100%; height: 100%; top: 0; left: 0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe></div></div></figure><p>&nbsp;</p><p><strong>Comprehensive Module:&nbsp;</strong></p><figure class=""media""><div data-oembed-url=""https://www.youtube.com/watch?v=jh4zjAB3DjA""><div style=""position: relative; padding-bottom: 56.2493%; height: 0""><iframe src=""https://www.youtube.com/embed/jh4zjAB3DjA"" style=""position: absolute; width: 100%; height: 100%; top: 0; left: 0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe></div></div></figure>"
9522;"<p><strong><ins data-id=""404"">Justification for assessment:</ins></strong></p><ins data-id=""404"">  </ins><p><ins data-id=""404"">psum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum</ins></p><ins data-id=""404""> </ins>"
11124;"<ins data-id=""82"">sodksodkvodkvsokvodskvpskvopdkvoskvposdkvopsdkvkvposkvopsdkvposdkvpsdkvposdkvopsdkvpsdk</ins>"
11482;"<figure class=""image""><img src=""https://stratsysblobstorage.blob.core.windows.net/public/images/stdproduktverksamhetsplaneringdemo/pinboard/c6e2024f-905a-4e76-b8b8-0dd75dc9b6a6/500""></figure>"
11491;You are an AI assistant tasked with proposing three activities to promote the success of an organization within the public sector and achieve specific goals within the organization's context.  Each activity should include the following:  Title limited to 25 characters  Motivation: A brief description arguing why this particular activity is recommended. Limited to 50 characters.  References: The generated activities should be relevant and support public sector frameworks and methods such as the Municipal Law (2017:725), School Law (2010:800), Social Services Act (2001:453), Planning and Building Act (2010:900), Environmental Code (1998:808), Public Access to Information and Secrecy Act (2009:400), Public Procurement Act (2016:1145), Discrimination Legislation, Occupational Safety and Health Act.  Priority: Assess the relevance and priority of the activity compared to the other proposed activities. If the activities are equal, specify that.  All activities should be written in Swedish.
13544;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
13555;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
18281;Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
18289;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
18293;Lorem ipsum dolor sit amet, consectetur adipiscing elit
18638;Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt.
18814;total emissions from employee commuting for the reporting year is calculated as: ? (total distance travelled by vehicle type (based on fuel use) × vehicle specific emission factor (kg CO2e/vehicle-km or kg CO2e/passenger-km)
21347;PSL 2010:659, 6 kap. 4 §, SOSFS 2011:9 5 kap. 5 §, 7 kap. 2 § p 5  Beskriv hur verksamheten arbetar för att personalen rapporterar risker för vårdskador samt händelser som har eller hade kunnat medföra en vårdskada. Beskriv om samlade analyser av avvikelser utförts samt några viktiga lärdomar som har spridits. Beskriv gärna i en tabell med antal och typ av avvikelser samt exempel på genomförda förbättringar som haft effekt.
22009;"<p><ins data-id=""330"">Lorem ipsum dolor sit amet, consectetur adipisci elit, sed eiusmod tempor incidunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur.</ins></p><ins data-id=""330""> </ins>"
22014;"<p><ins data-id=""313"">Lorem ipsum dolor sit amet, consectetur adipisci elit, sed eiusmod tempor incidunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur.</ins></p><ins data-id=""313""> </ins>"
22015;"<p><ins data-id=""238"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</ins></p><ins data-id=""238"">  </ins><p><ins data-id=""238"">&#160;</ins></p><ins data-id=""238""> </ins>"
22018;"<p><ins data-id=""249"">Test</ins></p><ins data-id=""249""> </ins>"
22021;"<p><ins data-id=""238"">Lorem ipsum dolor sit amet, consectetur adipisci elit, sed eiusmod tempor incidunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur.</ins></p><ins data-id=""238""> </ins>"
22031;"<p><ins data-id=""276"">Test</ins></p><ins data-id=""276""> </ins>"
22063;"<p><ins data-id=""313"">Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.</ins></p><ins data-id=""313""> </ins>"
22072;"<p><ins data-id=""234"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</ins></p><ins data-id=""234""> </ins>"
22178;"<p><ins data-id=""255"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</ins></p><ins data-id=""255""> </ins>"
22274;"<p><ins data-id=""270"">Donec ullamcorper fringilla eros. Fusce in sapien eu purus dapibus commodo. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.</ins></p><ins data-id=""270""> </ins>"
22452;"<p><ins data-id=""331"">Test.&#160;</ins></p><ins data-id=""331""> </ins>"
22634;"<p><ins data-id=""296"">Lorem ipsum&#160;Lorem ipsumLorem ipsumLorem ipsumLorem ipsumLorem ipsumLorem ipsumLorem ipsum</ins></p><ins data-id=""296""> </ins>"
22737;"<p><ins data-id=""337"">test 123</ins></p><ins data-id=""337""> </ins>"
22739;"<p><ins data-id=""274"">Test</ins></p><ins data-id=""274""> </ins>"
22819;"<p><ins data-id=""322"">Our year was ...</ins></p><ins data-id=""322""> </ins>"
22980;"<p><ins data-id=""322"">This year ...</ins></p><ins data-id=""322""> </ins>"
23264;"<p>En grundläggande förutsättning för en säker vård är att det finns tillräckligt med personal som har adekvat kompetens och goda förutsättningar för att utföra sitt arbete.</p>  <p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;{{ stratsys.Image{id: ""a1c208ab-8368-44c3-9630-b0ec00850a12"", title: ""Bild""} }}</p>"
23272;"<p>Alla delar av vården behöver planera för en hälso- och sjukvård som flexibelt kan anpassas till kortsiktigt eller långsiktigt förändrade förhållanden med bibehållen funktionalitet, även under oväntade förhållanden. I patientsäkerhetssammanhang beskrivs detta som resiliens.</p>  <p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;{{ stratsys.Image{id: ""8eaf3e1c-f6d8-4f53-a679-b0ec008bb33e"", title: ""Bild""} }}</p>"
23273;"<p>En grundläggande förutsättning för en säker vård är en engagerad och kompetent ledning och tydlig styrning av hälso- och sjukvården på alla nivåer.</p>  <p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; {{ stratsys.Image{id: ""11cc2b78-4189-4b88-92c2-b0ec00817c5e"", title: ""Bild""} }}</p>"
23317;"<figure class=""image""><img src=""/app21/api/pinboard/v2.0/filestorage/db171934-6050-478f-bcca-a0d77ebabdae/500""></figure><figure class=""image""><img src=""/app21/api/pinboard/v2.0/filestorage/0a849711-bbd2-499c-8650-547f56f91367/500""></figure>"
23366;"<figure class=""image""><img src=""https://stratsysblobstorage.blob.core.windows.net/public/images/projektdemov2/pinboard/5b722752-c1a3-4afa-a18d-d8c4d0993768""></figure>"
23375;"<figure class=""image""><img src=""/app21/api/pinboard/v2.0/filestorage/a53969fe-3c85-40ab-9940-dc4ccbed19f6/500""></figure>"
23379;"<figure class=""image""><img src=""/app21/api/pinboard/v2.0/filestorage/e31eb566-f7a1-408d-a575-bf5d36b2342e""></figure>"
23411;"<figure class=""image""><img src=""https://www.stratsys.com/hs-fs/hubfs/AI_funktionalitet_Stratsys.png?width=1920&amp;name=AI_funktionalitet_Stratsys.png"" alt=""Stratsys-AI""></figure><p><strong>Stratsys, a leading SaaS company with industry-specific solutions for business management and regulatory compliance, today announces the launch of advanced AI functionality in its products. The AI support accelerates productivity and strengthens decision-making, enabling companies and organizations to reach higher levels of quality and ensure information management with the highest security standards.</strong></p>"
23455;"Please propose three actionable suggestions on {{COLUMN_NAME}} for ""{{ANCESTOR_NAME:1}}"" and ""{{ANCESTOR_NAME:2}}"" and ""{{ANCESTOR_NAME:3}}""."
